forex,r_star
33685.53,5.95
33378.56,6.01
36431.84,6.14
34743.98,6.28
33622.02,6.71
33059.99,6.73
34404.44,6.67
32962,6.61
34185.11,6.6
35342.62,6.67
34760.05,6.65
35577.44,6.45
39484.9,5.62
39168.04,5.26
40292.84,4.89
40367.46,4.53
40618.82,4.02
40814.68,3.74
40873.9,3.66
41221.22,3.48
42861.05,2.87
43420.94,2.31
43924.77,2.03
44804.84,1.83
47283.35,1.74
47119.72,1.82
46258.66,1.91
45142.76,1.87
44974.9,1.82
45585.68,1.81
46113.06,1.79
46546.18,1.73
46686.63,1.76
46143.81,1.73
46846.23,1.39
50671.6,1.34
51582.44,1.29
52027.34,1.27
53952.32,1.23
55103.68,1.24
55763.79,1.22
55265.36,1.04
54202.31,1.05
54007.8,1.08
54860.69,1.08
56233.69,1.1
57321.37,1.11
59026.32,1.1
63019.14,1.06
63126.36,1.05
61658.66,1.05
60370.83,1.08
60344.7,1.2
60474.69,1.46
60342.91,1.57
61097.02,1.68
62275.87,1.86
60975.13,2.04
63755.73,2.26
64201.8,2.45
65076.54,2.61
64063.31,2.77
64109.64,2.97
62809.91,3.09
61932.54,3.22
65602.4,3.38
66487.02,3.57
68227.13,3.77
69980.65,3.87
71202.07,4.13
72786.24,4.31
74110.08,4.45
76802.15,4.56
75623.98,4.72
76023.18,4.88
78453.09,5.03
81459.41,5.15
84944.97,5.35
83062.18,5.46
83706.07,5.38
83453.88,5.34
77578.68,5.33
77069.28,5.32
76329.15,5.32
76842.29,5.32
76668.01,5.31
75849.74,5.3
77574.98,5.31
78010.83,5.31
77932.65,5.33
78240.2,5.32
79486.38,5.49
82167.85,5.46
83739.53,5.08
85545.5,4.97
87208.27,5.02
90781.74,3.84
90351.15,3.06
91132.18,2.79
92796.5,2.85
93955.28,2.66
94044.86,2.76
95494.28,2.79
97119.7,2.79
98862.31,3.59
84967.07,4.32
88711.38,2.36
95297.73,1.77
90403.14,1.02
90173.91,1.16
85633.98,1.07
84192.08,0.89
83173.24,0.57
81476.21,0.39
82214.05,0.35
84651.12,0.3
87805.46,0.25
88655.49,0.24
90698.52,0.21
99891.6,0.22
98671.38,0.2
99973.14,0.19
101604.53,0.23
103803.87,0.3
103861.02,0.45
105559.85,0.52
109554.73,0.41
111548.33,0.32
113687.13,0.28
116265.99,0.27
117412.65,0.27
120587.04,0.3
123524.69,0.29
126196.74,0.28
128260.75,0.28
131266.4,0.23
131173.57,0.21
133892.43,0.22
138496.81,0.24
143408.21,0.29
141086.87,0.33
145746.26,0.37
147185.7,0.41
149208.1,0.49
154114.34,0.4
154995.94,0.3
155948.62,0.29
159340.2,0.29
158607.76,0.29
162720.25,0.32
165126.88,0.3
165358.4,0.26
165589.69,0.24
167389.64,0.23
168285.76,0.23
167049.76,0.24
171252.36,0.23
171741.77,0.22
171311.41,0.21
172699.81,0.2
170096.37,0.2
168901.14,0.19
172812.02,0.14
173520.1,0.12
175002.31,0.11
177161.29,0.12
178937.58,0.12
180200.02,0.14
183001.45,0.12
183763.29,0.13
185466.56,0.12
188840.42,0.12
190593.94,0.11
192538.89,0.11
192892.4,0.13
193373.6,0.13
193331.6,0.12
197026.14,0.12
196718.74,0.13
195681.63,0.15
199161.2,0.16
198221.7,0.15
197764.99,0.14
198319.98,0.13
196455.26,0.15
194305.51,0.18
193336.29,0.19
187163.32,0.26
181928.69,0.27
177124.97,0.25
172678.13,0.3
177596.62,0.54
176321.23,0.57
178449.19,0.54
179708.03,0.55
182118.7,0.55
179351.02,0.57
178829.98,0.55
179651.94,0.62
177835.42,0.73
180498.5,0.75
176852.14,0.72
175909.49,0.71
178024.77,0.87
176687.23,0.9
179746.02,0.87
178703.16,0.98
176747.8,1.03
176114.81,1.05
175395.09,1.16
175281.04,1.22
174701.61,1.25
174887.66,1.25
176439.57,1.26
173966.33,1.32
175448.41,1.54
179311.69,1.63
177614.16,1.78
177585.19,2.08
177210.48,2.2
178408.97,2.16
178005.83,2.19
176615.34,2.17
176499.7,2.19
177036.23,2.24
176578.54,2.37
176571.09,2.56
176380.04,2.69
180343.98,2.59
181004.95,2.49
182067,2.48
184654.36,2.47
185414.84,2.44
186204.62,2.3
187947.34,2.22
189349.11,2.06
182911.14,2.03
183713.14,1.88
185287.4,1.77
183024.25,1.76
