forex,GDP,Xrate,r_star,r,
36431.8371750667,1665108.9,9.5837,6.033333,17.55667,173743.846322402
33059.9850584458,1700937.5,9.3473,6.573333,16.53333,181970.996972388
34185.1107347229,1724630,9.5047,6.626667,16.45667,181450.229886267
35577.4419260105,1743086.1,9.6908,6.59,18.38,179870.196475007
40292.8449738478,1774317.3,9.1871,5.256667,18.14667,193131.3798696
40814.6820632914,1774740.2,9.2299,4.096667,14.14333,192281.628186654
42861.0465396563,1777233.7,9.2437,3.336667,11.33667,192264.320564276
44804.842121561,1747341.2,9.1111,2.056667,10.08,191781.585099494
46258.6618050702,1895802.9,9.4717,1.823333,8.703333,200154.449570827
45585.6835073196,1887677.8,9.8908,1.833333,7.8,190851.882557528
46686.6301762145,1924637.3,10.1694,1.76,8.473333,189257.704486007
50671.6017597124,1936360.7,10.8202,1.486667,8.823334,178957.939779302
53952.3217790931,1970143.8,10.4503,1.263333,9.756667,188525.09497335
55265.3588042518,1942884.1,10.7172,1.166667,7.21,181286.539394618
54860.6858315739,2019420.9,11.1964,1.07,5.58,180363.411453682
59026.3186444202,2086733.4,10.9911,1.103333,6.11,189856.647651282
61658.6649436812,2220555.1,11.3903,1.053333,6.056667,194951.414800313
60474.6862463598,2211008.3,11.4492,1.246667,7.09,193114.65429899
62275.8698901903,2310070.6,11.3194,1.703333,7.843333,204080.657985406
64201.8045674203,2265286.9,11.1844,2.25,8.78,202539.868030471
64109.6416826875,2410898.1,10.9671,2.783333,9.533334,219830.046229176
65602.4038723125,2393591.7,10.7146,3.23,10.14667,223395.339070054
69980.6517468317,2492871.5,10.7098,3.736667,9.836667,232765.457805001
74110.0841722901,2525107.4,10.6013,4.296667,9.01,238188.467452105
76023.1801694988,2689417.1,11.1817,4.72,7.956666,240519.518498976
84944.9671146034,2675870.5,10.9448,5.176667,7.663333,244487.838973759
83453.8790184874,2740544.5,10.8849,5.393333,7.516667,251774.889985209
76329.1542448082,2730997.8,11.0242,5.323333,7.623333,247727.526713957
75849.7412636501,2871620.1,10.8776,5.31,7.673333,263993.904905494
77932.6471972689,2879667.5,10.9649,5.316667,7.753334,262625.970141087
82167.8485814594,3021790.1,10.8488,5.423333,7.78,278536.805914018
87208.2651606251,2945529,10.8027,5.023334,7.93,272666.000166625
91132.1827060322,3180265.3,10.4279,3.23,7.953333,304976.582053913
94044.8559019197,3121194.7,10.3275,2.756667,8.006667,302221.709029291
98862.3061498402,3106856.3,13.0614,3.056667,8.646667,237865.489151239
95297.7296506417,2913763.7,14.3841,2.816667,8.803333,202568.370631461
85633.9786448164,2985590.7,13.3153,1.083333,7.936666,224222.563517157
81476.2105929373,3049446.5,13.2614,0.6166667,5.776667,229949.06269323
87805.4596398112,3213961.9,13.0623,0.3,4.953333,246048.697396324
99891.6034861711,3195795.9,12.7587,0.2233333,5.05,250479.743234029
101604.531342797,3320574,12.5534,0.2066667,5.04,264515.908040849
105559.854820741,3336506,12.7888,0.4233333,5.026667,260892.812460903
113687.128763493,3513501.4,12.3891,0.3366667,4.993333,283596.177284871
120587.04191961,3477393.7,12.0598,0.28,4.94,288345.884674704
128260.754253607,3593968.9,11.7232,0.2833333,4.89,306568.931691006
133892.43030787,3660433.3,12.3322,0.22,4.883333,296819.164463761
141086.870209936,3933780.7,13.6382,0.2866667,4.836667,288438.40829435
149208.099626297,3853223,12.9657,0.4233333,4.81,297185.882752185
155948.619548062,3927784,13.5331,0.33,4.796667,290235.348885326
162720.253735134,3942686.3,13.1636,0.3,4.773334,299514.289404114
165589.685491556,4094061.3,12.9408,0.2666667,4.803333,316368.485719585
167049.756531131,3942052.3,12.6376,0.2333333,4.853333,311930.453567133
171311.408508742,4049586.7,12.4749,0.22,4.723333,324618.770491146
168901.137255017,4050895.3,12.905,0.1966667,4.323333,313901.224331654
175002.307134352,4234652.8,13.0186,0.1233333,4.246666,325277.12657275
180200.019048727,4192563.2,13.234,0.1266667,3.85,316802.418014206
185466.557294996,4356940,12.9988,0.1233333,3.803333,335180.170477275
192538.892169525,4365237.2,13.1219,0.1133333,3.69,332668.073983188
193331.603871735,4569565.2,13.8778,0.1266667,3.306667,329271.584833331
195681.630239328,4444918.7,14.9605,0.1333333,3.303333,297110.303800007
197764.991435319,4625397.2,15.3189,0.15,3.316667,301940.557089608
194305.512925314,4672513.1,16.4338,0.1533333,3.31,284323.351872361
181928.693391202,4829280.3,16.7657,0.24,3.343333,288045.253106044
177596.624348136,4743338.7,18.0225,0.3633333,3.4,263189.829379942
179708.029502874,4996337.1,18.0986,0.5533333,3.826667,276062.076624711
178829.97534099,5040728.2,18.7708,0.5566667,4.156667,268540.935921751
180498.500356046,5348653.4,19.8111,0.7,4.69,269982.656187693
178024.772283593,5330556.1,20.2555,0.7666667,5.6,263165.861124139
178703.163572987,5451878,18.5477,0.9166667,6.543334,293938.22414639
175395.090239238,5431374.1,17.8111,1.08,7.096667,304943.215186036
174887.659208278,5720359.4,18.9737,1.24,7.386667,301488.871437832
175448.409908893,5669596.8,18.7166,1.373333,7.456666,302918.094098287
177585.185358804,5913941.7,19.4115,1.83,7.8,304661.75720578
178005.83427788,5847853.3,18.945,2.183333,7.923333,308675.286355239
177036.232298279,6092998.4,19.8159,2.2,8.153334,307480.275940028
176380.044326515,5982386,19.2043,2.54,8.346666,311512.838270596
182067.002017083,6093631.7,19.1111,2.52,8.57,318853.006891283
186204.620002325,6096148.6,19.4212,2.403333,8.51,313891.448520174
182911.135937296,6273568.7,19.2479,2.103333,8.296667,325935.229297742
183024.25118451,6188137.6,20.085,1.803333,7.716667,308097.465770475
