Country,Year,Quarter,Forex,Population,GDP,Employment,EmploymentA,EmploymentM,EmploymentS,r_star,r,ka_open,bH,w,dGDP,bG,bI,bG_star,Import,Export,ToT,K,CPI_U
Mexico,2005,1,64109.6416826875,105.669369,219830.046229176,60.02109,6289.643,10725.75,24633.08,2.783333,9.533334,,,,,,,,,,,,
Mexico,2005,2,65602.4038723125,105.669369,223395.339070054,59.57527,6172.7,10681.41,24885.67,3.23,10.14667,,,,,,,,,,,,
Mexico,2005,3,69980.6517468317,105.669369,232765.457805001,60.22399,6301.155,10774.26,25128.45,3.736667,9.836667,,,,,,,,,,,,
Mexico,2005,4,74110.0841722901,105.669369,238188.467452105,60.3978,6112.548,10860.76,25751.11,4.296667,9.01,,,,,,,,,,,,
Mexico,2006,1,76023.1801694988,107.155391,240519.518498976,60.91037,6192.668,10987.14,25770.86,4.72,7.956666,,,,,,,,,,,,
Mexico,2006,2,84944.9671146034,107.155391,244487.838973759,60.82957,6213.54,11096.54,25963.18,5.176667,7.663333,,,,,,,,,,,,
Mexico,2006,3,83453.8790184874,107.155391,251774.889985209,61.10069,6031.349,11346.73,26112.37,5.393333,7.516667,,,,,,,,,,,,
Mexico,2006,4,76329.1542448082,107.155391,247727.526713957,61.01489,6069.112,11334.79,26395.57,5.323333,7.623333,,,,,,,,,,,,
Mexico,2007,1,75849.7412636501,108.744845,263993.904905494,60.96846,6128.977,11402.23,26208.63,5.31,7.673333,,,,,,,,,,,,
Mexico,2007,2,77932.6471972689,108.744845,262625.970141087,60.89844,6022.58,11360.46,26728.65,5.316667,7.753334,,,,,,,,,,,,
Mexico,2007,3,82167.8485814594,108.744845,278536.805914018,60.59222,5973.705,11387.76,26613.68,5.423333,7.78,,,,,,,,,,,,
Mexico,2007,4,87208.2651606251,108.744845,272666.000166625,61.55067,6054.378,11520.36,27523.59,5.023334,7.93,,,,,,,,,,,,
Mexico,2008,1,91132.1827060322,110.405454,304976.582053913,61.23552,6153.377,11291.49,27428.28,3.23,7.953333,,,,,,,,,,,,
Mexico,2008,2,94044.8559019197,110.405454,302221.709029291,61.19402,6120.478,11575.65,27658.47,2.756667,8.006667,,,,,,,,,,,,
Mexico,2008,3,98862.3061498402,110.405454,237865.489151239,60.51861,6088.977,11276.07,27535.81,3.056667,8.646667,,,,,,,,,,,,
Mexico,2008,4,95297.7296506417,110.405454,202568.370631461,59.72266,6091.578,11046.71,27507.22,2.816667,8.803333,,,,,,,,,,,,
Mexico,2009,1,85633.9786448164,112.095388,224222.563517157,59.78216,6047.858,10969.03,27840.89,1.083333,7.936666,,,,,,556977.307576946,,,,,,
Mexico,2009,2,81476.2105929373,112.095388,229949.06269323,59.30399,6118.756,10837.55,28131.5,0.6166667,5.776667,,,,,,563882.74200316,,,,,,
Mexico,2009,3,87805.4596398112,112.095388,246048.697396324,59.90909,6276.546,10782.35,28551.89,0.3,4.953333,,,,,,600595.372475109,,,,,,
Mexico,2009,4,99891.6034861711,112.095388,250479.743234029,60.14693,6426.014,10846.52,28912.49,0.2233333,5.05,,,,,,646970.313576511,,,,,,
Mexico,2010,1,101604.531342797,113.748671,264515.908040849,59.76659,6286.068,11068.36,28406.79,0.2066667,5.04,,,,,,696685.327443921,,,,,,
Mexico,2010,2,105559.854820741,113.748671,260892.812460903,60.21929,6476.163,11062.75,29117.89,0.4233333,5.026667,,,,,,690623.628001376,,,,,,
Mexico,2010,3,113687.128763493,113.748671,283596.177284871,59.83725,6330.859,11143.38,28842.83,0.3366667,4.993333,,,,,,737455.973377825,,,,,,
Mexico,2010,4,120587.04191961,113.748671,288345.884674704,58.82718,6370.171,10943.79,28437.44,0.28,4.94,,,,,,803338.695350375,,,,,,
Mexico,2011,1,128260.754253607,115.367452,306568.931691006,59.52005,6265.748,11051.92,28926.96,0.2833333,4.89,,,,,,836745.228905417,,,,,,
Mexico,2011,2,133892.43030787,115.367452,296819.164463761,59.74899,6306.124,11327.83,29318.03,0.22,4.883333,,,,,,859923.666230464,,,,,,
Mexico,2011,3,141086.870209936,115.367452,288438.40829435,59.984,6531.58,11249.75,29430.44,0.2866667,4.836667,,,,,,771835.524972047,,,,,,
Mexico,2011,4,149208.099626297,115.367452,297185.882752185,60.84929,6474.481,11318.49,30354.19,0.4233333,4.81,,,,,,795376.139870549,,,,,,
Mexico,2012,1,155948.619548062,116.93567,290235.348885326,60.51516,6542.796,11350.35,30071.18,0.33,4.796667,,,,,,879253.94701297,,,,,,
