Country,Year,Forex,Population,GDP,Employment,Employment_Ag,Employment_M,Employment_S,r_star,r,ka_open,bH,w,dGDP,bG,bI,bG_star,Import,Export,ToT,K,CPI_U
Mexico,2000,35508.8419260105,97873442,707906744574.644,57.6510009765625,17.4099998474121,27.06527,55.52931,6.46,17.23167,0.7005,7.6805101167773,6210,,,12.6965439656067,5.01603384882941,27.0259648121425,25.4067169365962,111.182399771113,6564190,172.2
Mexico,2001,44740.742121561,99394288,756706300589.791,56.7949981689453,17.4599990844727,26.078,56.46169,3.69,13.42667,0.7005,7.9730219236319,6740,6.89350064668036,,13.8855856338441,5.91256371021217,24.4993518433345,22.6667211742494,109.069865190382,6730969.5,177.1
Mexico,2002,50594.4467597124,100917081,772106378935.377,56.2019996643066,16.8400001525879,25.60789,57.08791,1.73,8.45,0.4470,8.7127832447933,7100,2.03514604458597,,15.2655651075043,6.55278186271105,24.1454248345598,22.5524898738313,111.001122687341,6876886,179.9
Mexico,2003,58955.6416444202,102429341,729336319677.449,56.2639999389648,16.1700000762939,25.33442,58.11386,1.15,7.164166,0.4470,9.3381977963871,7360,-5.53939980613833,37.22353,17.4216621808968,8.08346438450967,25.8452487673265,24.3604406878698,112.67781411261,7019148.5,184
Mexico,2004,64140.6965674203,103945813,782240601984.76,56.5309982299805,15.5100002288818,25.10003,59.06865,1.56,7.4425,0.7005,9.9923570806967,7820,7.25375672100193,37.01357,18.1919693744945,8.1996122937978,27.6458412865828,25.8403039526232,108.293630906234,7182315,188.9
Mexico,2005,74054.1373486702,105442402,877476221382.101,57.2179985046387,14.8800001144409,25.93915,59.14515,3.51,9.631667,0.7005,10.958784523295,8050,12.1747220939059,38.6965,19.398231148074,8.43944662477902,27.7055817247764,26.2325503809951,108.735205116682,7363184,195.3
Mexico,2006,76270.5460233582,106886790,975387131716.089,57.9830017089844,14.25,26.18995,59.55659,5.15,7.69,0.7005,11.869534286242,8690,11.1582408671736,42.08869,19.6890495887628,7.81951530252079,28.7675627660942,27.3251618939288,109.967334948009,7573718,201.6
Mexico,2007,87109.2362139551,108302973,1052696282278.87,57.9179992675781,13.789999961853,26.20333,60.00428,5.27,7.784167,0.7005,13.5224599317,9250,7.92599656577013,45.70341,21.7973287310256,8.27486879932563,29.2680434902208,27.527235888679,111.931931863271,7800340.5,207.3
Mexico,2008,95126.1034986517,109684489,1109989063586.62,57.6199989318848,13.7399997711182,25.57863,60.68586,2.96,8.3525,0.7005,13.240751875938,9780,5.44247968499738,49.09856,21.8107555470803,8.57000367114233,30.0755351025349,27.7014958270789,114.377000551871,8049809.5,215.3
Mexico,2009,99589.2097425811,111049428,900045350649.351,56.6800003051758,13.8100004196167,24.29499,61.8997,0.56,5.929167,0.7005,13.493159574348,8820,-18.9140343652481,41.07824,24.5580697670101,11.0649101926621,28.812770431946,27.1549993271981,110.346696679985,8230607,214.5
Mexico,2010,120264.99036051,112532401,1057801295584.05,56.4980010986328,13.9200000762939,24.40098,61.67762,0.31,5,0.7005,13.236152001674,9040,17.5275551194041,40.97847,24.6054886495467,11.3693366478727,31.0626537159835,29.6976647689721,107.083216966224,8425333,218.1
Mexico,2011,143990.797078067,114150481,1180489601957.61,56.6699981689453,13.6899995803833,24.29615,62.01579,0.3,4.855,0.7005,13.543170317142,9310,11.5984265557001,43.9981,25.7407192696518,12.1975489525098,32.4329707398903,31.0367071399496,105.098034232937,8648406,224.9
Mexico,2012,160413.365459751,115755909,1201089987015.45,57.4560012817383,13.7200002670288,24.06022,62.21728,0.28,4.806667,0.7005,13.922260517814,10050,1.74507128429409,45.92216,27.2779097359344,13.3556492181204,33.5016780596676,32.2655677637235,104.673715722851,8886811,229.6
